15/4

316	444	51	205	107	322	204	459	320	453	239	409	85	453	468
288	67	288	167	304	63	318	148	376	446	154	227	283	282	453
125	134	86	82	309	185	164	106	241	273	271	153	498	148	468
466	430	316	356	129	373	336	296	107	219	251	255	85	131	248

21	37	12	15	27	15	44	12	42	33	43	10	38	50	27
12	15	23	26	17	14	12	20	46	19	38	27	14	25	27
39	18	38	34	29	21	32	33	17	34	13	31	23	21	30
32	24	13	28	10	50	42	30	13	26	30	44	49	18	27

2.28	2.44	1.35	1.62	1.42	1.87	1.90	2.11	1.96	1.27	1.56	1.74	1.67	2.10	1.98
1.28	1.75	2.33	1.84	1.49	2.21	1.60	2.20	2.28	2.26	2.13	2.41	2.24	2.27	1.93
2.23	2.27	1.85	2.24	1.81	2.10	1.94	2.33	2.08	1.60	1.45	2.10	1.29	1.96	2.09
1.92	1.28	1.81	1.49	2.05	1.71	1.66	1.99	1.48	1.95	2.04	2.48	1.93	1.44	1.76

2	4	2	5	3	1	4	1	2	5	4	2	4	5	2
5	1	3	2	3	5	1	1	4	4	1	3	1	4	4
1	4	1	1	2	1	1	4	4	3	3	5	2	4	5
2	2	3	1	3	3	4	2	4	1	4	3	1	5	4

